noise_step,rho,layer,layer_pos,mean_cosine,n_images,variant,exclude_classifier
999,0.999,features.5.15,24,0.028165592668228785,20,with_classifier,False
999,0.999,features.5.16,25,0.028147804714972153,20,with_classifier,False
999,0.999,features.5.17,26,0.027096360189025292,20,with_classifier,False
999,0.999,features.5.18,27,0.027959517771378162,20,with_classifier,False
999,0.999,features.5.19,28,0.027879059149418028,20,with_classifier,False
999,0.999,features.5.20,29,0.027255745014408604,20,with_classifier,False
999,0.999,features.5.21,30,0.027588367877178825,20,with_classifier,False
999,0.999,features.5.22,31,0.027630329310195524,20,with_classifier,False
999,0.999,features.5.23,32,0.02926444543059915,20,with_classifier,False
999,0.999,features.5.24,33,0.030442225671140476,20,with_classifier,False
999,0.999,features.5.25,34,0.031896578544983636,20,with_classifier,False
999,0.999,features.5.26,35,0.031839477953035385,20,with_classifier,False
999,0.999,features.6,36,0.022713570116320626,20,with_classifier,False
999,0.999,features.7.0,37,0.022932004474278074,20,with_classifier,False
999,0.999,features.7.1,38,0.021517198914662004,20,with_classifier,False
999,0.999,features.7.2,39,0.019596548590925522,20,with_classifier,False
999,0.999,classifier,40,0.058713777430821214,20,with_classifier,False
0,0.0,features.0,0,1.0,20,without_classifier,True
0,0.0,features.1.0,1,1.0,20,without_classifier,True
0,0.0,features.1.1,2,1.0,20,without_classifier,True
0,0.0,features.1.2,3,1.0,20,without_classifier,True
0,0.0,features.2,4,1.0,20,without_classifier,True
0,0.0,features.3.0,5,1.0,20,without_classifier,True
0,0.0,features.3.1,6,1.0,20,without_classifier,True
0,0.0,features.3.2,7,1.0,20,without_classifier,True
0,0.0,features.4,8,1.0,20,without_classifier,True
0,0.0,features.5.0,9,1.0,20,without_classifier,True
0,0.0,features.5.1,10,1.0,20,without_classifier,True
0,0.0,features.5.2,11,1.0,20,without_classifier,True
0,0.0,features.5.3,12,1.0,20,without_classifier,True
0,0.0,features.5.4,13,1.0,20,without_classifier,True
0,0.0,features.5.5,14,1.0,20,without_classifier,True
0,0.0,features.5.6,15,1.0,20,without_classifier,True
0,0.0,features.5.7,16,1.0,20,without_classifier,True
0,0.0,features.5.8,17,1.0,20,without_classifier,True
0,0.0,features.5.9,18,1.0,20,without_classifier,True
0,0.0,features.5.10,19,1.0,20,without_classifier,True
0,0.0,features.5.11,20,1.0,20,without_classifier,True
0,0.0,features.5.12,21,1.0,20,without_classifier,True
0,0.0,features.5.13,22,1.0,20,without_classifier,True
0,0.0,features.5.14,23,1.0,20,without_classifier,True
0,0.0,features.5.15,24,1.0,20,without_classifier,True
0,0.0,features.5.16,25,1.0,20,without_classifier,True
0,0.0,features.5.17,26,1.0,20,without_classifier,True
0,0.0,features.5.18,27,1.0,20,without_classifier,True
0,0.0,features.5.19,28,1.0,20,without_classifier,True
0,0.0,features.5.20,29,1.0,20,without_classifier,True
0,0.0,features.5.21,30,1.0,20,without_classifier,True
0,0.0,features.5.22,31,1.0,20,without_classifier,True
0,0.0,features.5.23,32,1.0,20,without_classifier,True
0,0.0,features.5.24,33,1.0,20,without_classifier,True
0,0.0,features.5.25,34,1.0,20,without_classifier,True
0,0.0,features.5.26,35,1.0,20,without_classifier,True
0,0.0,features.6,36,1.0,20,without_classifier,True
0,0.0,features.7.0,37,1.0,20,without_classifier,True
0,0.0,features.7.1,38,1.0,20,without_classifier,True
0,0.0,features.7.2,39,1.0,20,without_classifier,True
